raw_value,assignment_count,file_count,overlap_file_count,canonical_value,suggested_facet,suggested_action,suggestion_reason,reviewed_action,reviewed_facet,review_notes
F. T. Woods,2,2,2,F. T. Woods,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Frank Houghton,2,2,2,Frank Houghton,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Frederick Temple,2,2,2,Frederick Temple,attribution,move_to_attribution,high_tag_attribution_overlap,,,
From a prayer of the Eastern Church,2,2,2,From a prayer of the Eastern Church,source,move_to_source,non_scriptural_provenance_prefix,,,
From the Accession Service,2,2,2,From the Accession Service,source,move_to_source,non_scriptural_provenance_prefix,,,
G. C. Binyon,2,2,1,G. C. Binyon,,keep,default_keep,,,
Gordon Hewitt,2,2,2,Gordon Hewitt,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Gothic Missal,2,2,1,Gothic Missal,,keep,default_keep,,,
H. F. Leatherland,2,2,2,H. F. Leatherland,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Henry P. Liddon,2,2,2,Henry P. Liddon,attribution,move_to_attribution,high_tag_attribution_overlap,,,
J. Taylor Smith,2,2,0,J. Taylor Smith,,keep,default_keep,,,
James Mountain,2,2,1,James Mountain,,keep,default_keep,,,
John Dowden,2,2,2,John Dowden,attribution,move_to_attribution,high_tag_attribution_overlap,,,
John Wordsworth,2,2,2,John Wordsworth,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"King’s College, Cambridge",2,2,2,"King’s College, Cambridge",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Leslie D. Weatherhead,2,2,2,Leslie D. Weatherhead,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Leslie S. Hunter,2,2,2,Leslie S. Hunter,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Let Us Pray,2,2,2,Let Us Pray,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Liturgy of the Blessed Apostles,2,2,0,Liturgy of the Blessed Apostles,,keep,default_keep,,,
Margaret Cropper,2,2,2,Margaret Cropper,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"National Mission, 1916",2,2,2,"National Mission, 1916",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Office of None,2,2,2,Office of None,source,move_to_source,high_overlap_and_source_like,,,
Office of Sext,2,2,2,Office of Sext,source,move_to_source,high_overlap_and_source_like,,,
Polycarp,2,2,2,Polycarp,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Prayers for Education Sunday, 1956",2,2,2,"Prayers for Education Sunday, 1956",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Religious Drama Society,2,2,2,Religious Drama Society,source,move_to_source,high_overlap_and_source_like,,,
Salisbury Cathedral,2,2,2,Salisbury Cathedral,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Samuel Johnson,2,2,1,Samuel Johnson,,keep,default_keep,,,
Seasonal,2,2,0,Seasonal,,keep,default_keep,,,
Southwark Diocese,2,2,2,Southwark Diocese,source,move_to_source,high_overlap_and_source_like,,,
St. Anselm,2,2,2,St. Anselm,attribution,move_to_attribution,high_tag_attribution_overlap,,,
St. Francis of Assisi,2,2,2,St. Francis of Assisi,attribution,move_to_attribution,high_tag_attribution_overlap,,,
St. Ignatius Loyola,2,2,2,St. Ignatius Loyola,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Sursum Corda,2,2,2,Sursum Corda,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Thanksgivings for Family and Personal Life,2,2,0,Thanksgivings for Family and Personal Life,,keep,default_keep,,,
Thanksgivings for National Life,2,2,0,Thanksgivings for National Life,,keep,default_keep,,,
Thanksgivings for the Church,2,2,0,Thanksgivings for the Church,,keep,default_keep,,,
Thanksgivings for the Natural Order,2,2,0,Thanksgivings for the Natural Order,,keep,default_keep,,,
The Baptism of Jesus,2,2,0,The Baptism of Jesus,,keep,default_keep,,,
"The Missionary Conference, 1894",2,2,1,"The Missionary Conference, 1894",,keep,default_keep,,,
The Splendour of God,2,2,1,The Splendour of God,,keep,default_keep,,,
Thomas à Kempis,2,2,2,Thomas à Kempis,attribution,move_to_attribution,high_tag_attribution_overlap,,,
William Bellars,2,2,2,William Bellars,attribution,move_to_attribution,high_tag_attribution_overlap,,,
1 Peter 5:10–11,1,1,1,1 Peter 5:10–11,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
"A Form of Prayer, March 1941",1,1,1,"A Form of Prayer, March 1941",attribution,move_to_attribution,high_tag_attribution_overlap,,,
"A Form of Prayer, October 1939",1,1,1,"A Form of Prayer, October 1939",attribution,move_to_attribution,high_tag_attribution_overlap,,,
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,1,A Harvest of Myrrh and Spices (trs. W. H. Draper),attribution,move_to_attribution,high_tag_attribution_overlap,,,
A Prayer of the Eastern Church,1,1,1,A Prayer of the Eastern Church,attribution,move_to_attribution,high_tag_attribution_overlap,,,
A. S. T. Fisher,1,1,1,A. S. T. Fisher,attribution,move_to_attribution,high_tag_attribution_overlap,,,
A.C.C.M.,1,1,1,A.C.C.M.,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Acts of Devotion,1,1,1,Acts of Devotion,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Adapted from a 16th c. German prayer,1,1,1,Adapted from a 16th c. German prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from A Book of Guide Prayers,1,1,1,Adapted from A Book of Guide Prayers,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from A Diocesan Service Book,1,1,1,Adapted from A Diocesan Service Book,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from a prayer at the London Hospital,1,1,1,Adapted from a prayer at the London Hospital,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,1,Adapted from a prayer for the General Synod in the Irish Prayer Book,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from a prayer of A. E. Daldy,1,1,1,Adapted from a prayer of A. E. Daldy,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from a prayer of S.P.C.K.,1,1,1,Adapted from a prayer of S.P.C.K.,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from a prayer of St. Thomas Aquinas,1,1,1,Adapted from a prayer of St. Thomas Aquinas,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from an ancient collect,1,1,1,Adapted from an ancient collect,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Book of Common Order,1,1,1,Adapted from Book of Common Order,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Didache,1,1,1,Adapted from Didache,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from George Appleton,1,1,1,Adapted from George Appleton,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from John Donne,1,1,1,Adapted from John Donne,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Lancelot Andrewes (Daily Prayer),1,1,1,Adapted from Lancelot Andrewes (Daily Prayer),source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Liturgy of St. James,1,1,1,Adapted from Liturgy of St. James,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Micah 6:8,1,1,1,Adapted from Micah 6:8,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Adapted from Mozarabic Sacramentary,1,1,1,Adapted from Mozarabic Sacramentary,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Prayers for the Christian Year,1,1,1,Adapted from Prayers for the Christian Year,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Roman Breviary,1,1,1,Adapted from Roman Breviary,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Sarum Missal,1,1,1,Adapted from Sarum Missal,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Sarum Primer,1,1,1,Adapted from Sarum Primer,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Scottish Prayer Book,1,1,1,Adapted from Scottish Prayer Book,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from St. Nerses of Clajes,1,1,1,Adapted from St. Nerses of Clajes,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Student Prayer,1,1,1,Adapted from Student Prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
Adapted from Thomas Arnold,1,1,1,Adapted from Thomas Arnold,source,move_to_source,non_scriptural_provenance_prefix,,,
After A. J. Mason,1,1,1,After A. J. Mason,source,move_to_source,non_scriptural_provenance_prefix,,,
After Christina Rossetti,1,1,1,After Christina Rossetti,source,move_to_source,non_scriptural_provenance_prefix,,,
After George Wither (Daily Prayer),1,1,1,After George Wither (Daily Prayer),source,move_to_source,non_scriptural_provenance_prefix,,,
After Mozarabic Sacramentary,1,1,1,After Mozarabic Sacramentary,source,move_to_source,non_scriptural_provenance_prefix,,,
After Prayers of 1585,1,1,1,After Prayers of 1585,source,move_to_source,non_scriptural_provenance_prefix,,,
After Sir Francis Drake,1,1,1,After Sir Francis Drake,source,move_to_source,non_scriptural_provenance_prefix,,,
After St. Anselm,1,1,1,After St. Anselm,source,move_to_source,non_scriptural_provenance_prefix,,,
After St. Francis of Assisi,1,1,1,After St. Francis of Assisi,source,move_to_source,non_scriptural_provenance_prefix,,,
After St. Fulgentius,1,1,1,After St. Fulgentius,source,move_to_source,non_scriptural_provenance_prefix,,,
After St. Jerome,1,1,1,After St. Jerome,source,move_to_source,non_scriptural_provenance_prefix,,,
After St. Thomas Aquinas,1,1,1,After St. Thomas Aquinas,source,move_to_source,non_scriptural_provenance_prefix,,,
After the 55th Canon of 1603,1,1,1,After the 55th Canon of 1603,source,move_to_source,non_scriptural_provenance_prefix,,,
After William Laud,1,1,1,After William Laud,source,move_to_source,non_scriptural_provenance_prefix,,,
An adaptation of the Gelasian prayer,1,1,1,An adaptation of the Gelasian prayer,attribution,move_to_attribution,high_tag_attribution_overlap,,,
An adaptation of the House of Commons Prayer,1,1,1,An adaptation of the House of Commons Prayer,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Anselm of Canterbury,1,1,1,Anselm of Canterbury,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Armenian Liturgy,1,1,0,Armenian Liturgy,,keep,default_keep,,,
"Armistice Day Prayers, 1931",1,1,0,"Armistice Day Prayers, 1931",,keep,default_keep,,,
Artists’ Prayer Guild,1,1,0,Artists’ Prayer Guild,,keep,default_keep,,,
"Austrian Church Order, 1571",1,1,1,"Austrian Church Order, 1571",source,move_to_source,high_overlap_and_source_like,,,
Based on 1 Peter 1:3–5,1,1,1,Based on 1 Peter 1:3–5,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on 1 Peter 4:10–11,1,1,1,Based on 1 Peter 4:10–11,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on 2 Corinthians 4:6,1,1,1,Based on 2 Corinthians 4:6,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
"Based on 2 John 3:23, 24",1,1,1,"Based on 2 John 3:23, 24",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on 2 Timothy 3:5–17,1,1,1,Based on 2 Timothy 3:5–17,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on a 16th century prayer,1,1,1,Based on a 16th century prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
"Based on a prayer of the Pan-Anglican Congress, 1908",1,1,1,"Based on a prayer of the Pan-Anglican Congress, 1908",source,move_to_source,non_scriptural_provenance_prefix,,,
Based on a sixteenth century prayer,1,1,1,Based on a sixteenth century prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
Based on Colossians 1:10–12,1,1,1,Based on Colossians 1:10–12,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Colossians 3:1–4,1,1,1,Based on Colossians 3:1–4,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Confirmation Service,1,1,1,Based on Confirmation Service,source,move_to_source,non_scriptural_provenance_prefix,,,
Based on Ephesians 1:17–21,1,1,1,Based on Ephesians 1:17–21,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Ephesians 4:11–13,1,1,1,Based on Ephesians 4:11–13,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Ephesians 4:30–32,1,1,1,Based on Ephesians 4:30–32,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Ephesians 4:4–6,1,1,1,Based on Ephesians 4:4–6,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Ephesians 6:11–17,1,1,1,Based on Ephesians 6:11–17,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
"Based on Galatians 5:22, 23",1,1,1,"Based on Galatians 5:22, 23",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Hebrews 10:19–24,1,1,1,Based on Hebrews 10:19–24,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
"Based on Hebrews 13:20, 21",1,1,1,"Based on Hebrews 13:20, 21",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on John 4:23; Isaiah 29:13; Psalm 103.,1,1,1,Based on John 4:23; Isaiah 29:13; Psalm 103.,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Luke 8:15,1,1,1,Based on Luke 8:15,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Numbers 6:24–26,1,1,1,Based on Numbers 6:24–26,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Philippians 1:9–11,1,1,1,Based on Philippians 1:9–11,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Philippians 2:8–11,1,1,1,Based on Philippians 2:8–11,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Philippians 2:9–11,1,1,1,Based on Philippians 2:9–11,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Philippians 4:4–7,1,1,1,Based on Philippians 4:4–7,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
"Based on Psalm 119. 105, 18, 162",1,1,1,"Based on Psalm 119. 105, 18, 162",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Psalm 23:1–3,1,1,1,Based on Psalm 23:1–3,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Romans 12:19–21,1,1,1,Based on Romans 12:19–21,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Romans 12:6–10. #### The first sign,1,1,0,Based on Romans 12:6–10. #### The first sign,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
"Based on Romans 13. 11, 12, 1 Thessalonians 5:8",1,1,0,"Based on Romans 13. 11, 12, 1 Thessalonians 5:8",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Romans 15:13,1,1,1,Based on Romans 15:13,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Based on Thomas Ken,1,1,1,Based on Thomas Ken,source,move_to_source,non_scriptural_provenance_prefix,,,
Benedict of Nursia,1,1,1,Benedict of Nursia,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Benjamin Jenks,1,1,0,Benjamin Jenks,,keep,default_keep,,,
Bible Reading Fellowship,1,1,1,Bible Reading Fellowship,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Book of Hours, 1864",1,1,1,"Book of Hours, 1864",source,move_to_source,high_overlap_and_source_like,,,
"Book of Offices, Methodist Church",1,1,1,"Book of Offices, Methodist Church",source,move_to_source,high_overlap_and_source_like,,,
Book of Public Worship,1,1,1,Book of Public Worship,source,move_to_source,high_overlap_and_source_like,,,
British Hospital for Mothers and Babies,1,1,1,British Hospital for Mothers and Babies,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Brompton Parish Church,1,1,1,Brompton Parish Church,attribution,move_to_attribution,high_tag_attribution_overlap,,,
C. C. B. Bardsley,1,1,0,C. C. B. Bardsley,,keep,default_keep,,,
C. M. Blagden,1,1,1,C. M. Blagden,attribution,move_to_attribution,high_tag_attribution_overlap,,,
C. S. Woodward,1,1,1,C. S. Woodward,attribution,move_to_attribution,high_tag_attribution_overlap,,,
C.I.P.B.C. Prayer Book,1,1,1,C.I.P.B.C. Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
Central Board of Finance,1,1,1,Central Board of Finance,source,move_to_source,high_overlap_and_source_like,,,
Charles F. d’Arcy,1,1,1,Charles F. d’Arcy,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Charles Gore,1,1,1,Charles Gore,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Church Army,1,1,1,Church Army,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Church’s Ministry among the Jews,1,1,1,Church’s Ministry among the Jews,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Clement of Alexandria,1,1,1,Clement of Alexandria,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Collect of Easter Even,1,1,1,Collect of Easter Even,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Community of the Resurrection,1,1,1,Community of the Resurrection,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Daybreak Office of the Eastern Church,1,1,1,Daybreak Office of the Eastern Church,source,move_to_source,high_overlap_and_source_like,,,
Diocese of Rochester,1,1,1,Diocese of Rochester,source,move_to_source,high_overlap_and_source_like,,,
Diocese of Uganda,1,1,1,Diocese of Uganda,source,move_to_source,high_overlap_and_source_like,,,
Douglas Crick,1,1,1,Douglas Crick,attribution,move_to_attribution,high_tag_attribution_overlap,,,
E. C. Ratcliff,1,1,0,E. C. Ratcliff,,keep,default_keep,,,
E. M. Venables,1,1,0,E. M. Venables,,keep,default_keep,,,
Edward Hawkins,1,1,1,Edward Hawkins,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Emil E. Fischer,1,1,1,Emil E. Fischer,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Ephesians 3:14–19,1,1,1,Ephesians 3:14–19,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
"Ephesians 3:20, 21",1,1,1,"Ephesians 3:20, 21",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Eric Fenn,1,1,1,Eric Fenn,attribution,move_to_attribution,high_tag_attribution_overlap,,,
F. D. Maurice,1,1,1,F. D. Maurice,attribution,move_to_attribution,high_tag_attribution_overlap,,,
F. J. A. Hort,1,1,0,F. J. A. Hort,,keep,default_keep,,,
Faith and Order Conference Manual,1,1,0,Faith and Order Conference Manual,,keep,default_keep,,,
Fellowship Litanies,1,1,1,Fellowship Litanies,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Fielding Ould,1,1,1,Fielding Ould,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Fifth century,1,1,1,Fifth century,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Form of National Prayer, 1942",1,1,1,"Form of National Prayer, 1942",attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Form of National Prayer, May 1940",1,1,1,"Form of National Prayer, May 1940",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Francis J. Moore,1,1,0,Francis J. Moore,,keep,default_keep,,,
Francis Xavier,1,1,1,Francis Xavier,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Franciscan Breviary,1,1,1,Franciscan Breviary,source,move_to_source,high_overlap_and_source_like,,,
Frank Edward Brightman,1,1,1,Frank Edward Brightman,attribution,move_to_attribution,high_tag_attribution_overlap,,,
From an ancient prayer,1,1,1,From an ancient prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
From Book of Common Prayer,1,1,1,From Book of Common Prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
From Primer of 1555,1,1,1,From Primer of 1555,source,move_to_source,non_scriptural_provenance_prefix,,,
From the Gothic,1,1,1,From the Gothic,source,move_to_source,non_scriptural_provenance_prefix,,,
From the Litany,1,1,1,From the Litany,source,move_to_source,non_scriptural_provenance_prefix,,,
From the Liturgy of Malabar,1,1,1,From the Liturgy of Malabar,source,move_to_source,non_scriptural_provenance_prefix,,,
From the Order of Compline,1,1,1,From the Order of Compline,source,move_to_source,non_scriptural_provenance_prefix,,,
G. E. L. Cotton,1,1,1,G. E. L. Cotton,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Geneva Bible,1,1,1,Geneva Bible,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Geoffrey F. Fisher,1,1,1,Geoffrey F. Fisher,attribution,move_to_attribution,high_tag_attribution_overlap,,,
George Adam Smith,1,1,1,George Adam Smith,attribution,move_to_attribution,high_tag_attribution_overlap,,,
George Dawson,1,1,0,George Dawson,,keep,default_keep,,,
George Hickes,1,1,1,George Hickes,attribution,move_to_attribution,high_tag_attribution_overlap,,,
George Timms (after C. J. Vaughan),1,1,1,George Timms (after C. J. Vaughan),attribution,move_to_attribution,high_tag_attribution_overlap,,,
Gladys E. Bretherton,1,1,1,Gladys E. Bretherton,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Godly Prayers, 1559",1,1,0,"Godly Prayers, 1559",,keep,default_keep,,,
Gregory Nazianzen,1,1,1,Gregory Nazianzen,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Guildford Diocese,1,1,1,Guildford Diocese,source,move_to_source,high_overlap_and_source_like,,,
H. Bisseker,1,1,1,H. Bisseker,attribution,move_to_attribution,high_tag_attribution_overlap,,,
H. C. Cooksey,1,1,1,H. C. Cooksey,attribution,move_to_attribution,high_tag_attribution_overlap,,,
H. J. Wotherspoon,1,1,1,H. J. Wotherspoon,attribution,move_to_attribution,high_tag_attribution_overlap,,,
H. Stobat,1,1,1,H. Stobat,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Hebrews 13:20, 21",1,1,1,"Hebrews 13:20, 21",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Henry Hayman,1,1,1,Henry Hayman,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Henry Scott Holland,1,1,1,Henry Scott Holland,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Hugh Martin,1,1,1,Hugh Martin,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Ignatius,1,1,1,Ignatius,attribution,move_to_attribution,high_tag_attribution_overlap,,,
In the Tradition of Francis of Assisi,1,1,1,In the Tradition of Francis of Assisi,attribution,move_to_attribution,high_tag_attribution_overlap,,,
In Watchings Often,1,1,1,In Watchings Often,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Inter-Varsity Fellowship,1,1,0,Inter-Varsity Fellowship,,keep,default_keep,,,
Irenaeus,1,1,1,Irenaeus,attribution,move_to_attribution,high_tag_attribution_overlap,,,
J. H. Oldham,1,1,1,J. H. Oldham,attribution,move_to_attribution,high_tag_attribution_overlap,,,
J. W. Suter,1,1,1,J. W. Suter,attribution,move_to_attribution,high_tag_attribution_overlap,,,
James Wareham,1,1,1,James Wareham,attribution,move_to_attribution,high_tag_attribution_overlap,,,
John Calvin,1,1,1,John Calvin,attribution,move_to_attribution,high_tag_attribution_overlap,,,
John Henry Newman,1,1,1,John Henry Newman,attribution,move_to_attribution,high_tag_attribution_overlap,,,
John Wesley,1,1,1,John Wesley,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Joost de Blank,1,1,1,Joost de Blank,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Joseph Hall,1,1,1,Joseph Hall,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Joseph Mercier,1,1,1,Joseph Mercier,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Jude 24, 25",1,1,1,"Jude 24, 25",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Julian of Norwich,1,1,1,Julian of Norwich,attribution,move_to_attribution,high_tag_attribution_overlap,,,
King Alfred,1,1,1,King Alfred,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"King’s College Chapel, Cambridge",1,1,1,"King’s College Chapel, Cambridge",attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Knox’s Book of Common Order, 1564",1,1,1,"Knox’s Book of Common Order, 1564",source,move_to_source,high_overlap_and_source_like,,,
L. Tuttiet,1,1,1,L. Tuttiet,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Lambeth Conference, 1930",1,1,1,"Lambeth Conference, 1930",source,move_to_source,high_overlap_and_source_like,,,
"Lambeth Conference, 1958",1,1,1,"Lambeth Conference, 1958",source,move_to_source,high_overlap_and_source_like,,,
Laurence Binyon,1,1,1,Laurence Binyon,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Leaflet of the Collegium, 1914",1,1,1,"Leaflet of the Collegium, 1914",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Lionel James,1,1,1,Lionel James,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Liturgy of St. Basil,1,1,1,Liturgy of St. Basil,source,move_to_source,high_overlap_and_source_like,,,
Liturgy of St. Dionysius,1,1,1,Liturgy of St. Dionysius,source,move_to_source,high_overlap_and_source_like,,,
Liturgy of the Nestorians,1,1,0,Liturgy of the Nestorians,,keep,default_keep,,,
Liturgy of the Reformed Church of France,1,1,1,Liturgy of the Reformed Church of France,source,move_to_source,high_overlap_and_source_like,,,
Luke 2:15; Isaiah 9:6,1,1,1,Luke 2:15; Isaiah 9:6,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
M. A. P. Wood (after St. Augustine),1,1,1,M. A. P. Wood (after St. Augustine),attribution,move_to_attribution,high_tag_attribution_overlap,,,
Macrina the Younger,1,1,1,Macrina the Younger,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Mandell Creighton,1,1,1,Mandell Creighton,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Miles Coverdale,1,1,1,Miles Coverdale,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Mozarabic Liturgy,1,1,1,Mozarabic Liturgy,source,move_to_source,high_overlap_and_source_like,,,
Nicholas Ridley,1,1,1,Nicholas Ridley,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Non-Jurors’ Prayer Book,1,1,1,Non-Jurors’ Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
Nonjurors’ Prayer Book,1,1,1,Nonjurors’ Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
Office of Compline,1,1,1,Office of Compline,source,move_to_source,high_overlap_and_source_like,,,
Old Galilean,1,1,0,Old Galilean,,keep,default_keep,,,
Olive Warner,1,1,1,Olive Warner,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Order of Compline,1,1,1,Order of Compline,source,move_to_source,high_overlap_and_source_like,,,
Oxford Diocesan Service Book,1,1,1,Oxford Diocesan Service Book,source,move_to_source,high_overlap_and_source_like,,,
Pakenham Walsh,1,1,1,Pakenham Walsh,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Peace Prayers, 1946",1,1,1,"Peace Prayers, 1946",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Prayer of the Order,1,1,1,Prayer of the Order,source,move_to_source,high_overlap_and_source_like,,,
Prayer of the Order of the Garter,1,1,1,Prayer of the Order of the Garter,source,move_to_source,high_overlap_and_source_like,,,
"Prayers for Education Sunday, 1957",1,1,1,"Prayers for Education Sunday, 1957",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Praying for the Church Overseas,1,1,1,Praying for the Church Overseas,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Praying for Unity,1,1,1,Praying for Unity,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Priest’s Book of Private Devotion,1,1,1,Priest’s Book of Private Devotion,source,move_to_source,high_overlap_and_source_like,,,
Priest’s Prayer Book,1,1,1,Priest’s Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
"Psalms 104:24; 145:15, 16, 21",1,1,1,"Psalms 104:24; 145:15, 16, 21",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
R. Ambrose Reeves,1,1,1,R. Ambrose Reeves,attribution,move_to_attribution,high_tag_attribution_overlap,,,
