raw_value,assignment_count,file_count,overlap_file_count,canonical_value,suggested_facet,suggested_action,suggestion_reason,reviewed_action,reviewed_facet,review_notes
Ash Wednesday,9,9,0,Ash Wednesday,,keep,default_keep,,,
C. J. Vaughan,9,9,8,C. J. Vaughan,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Christmas Day,9,9,0,Christmas Day,,keep,default_keep,,,
Confessions,9,9,0,Confessions,,keep,default_keep,,,
Faith,9,9,0,Faith,,keep,default_keep,,,
Holy Baptism,9,9,0,Holy Baptism,,keep,default_keep,,,
Knowledge and Truth,9,9,0,Knowledge and Truth,,keep,default_keep,,,
Liturgy of St. Mark,9,9,1,Liturgy of St. Mark,,keep,default_keep,,,
Love,9,9,0,Love,,keep,default_keep,,,
Peter Green,9,9,8,Peter Green,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Pulpit Prayers,9,9,0,Pulpit Prayers,,keep,default_keep,,,
The Christian Warfare,9,9,0,The Christian Warfare,,keep,default_keep,,,
W. E. Orchard,9,9,6,W. E. Orchard,,keep,default_keep,,,
A Procession of Passion Prayers,8,8,8,A Procession of Passion Prayers,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Before Bible Study,8,8,0,Before Bible Study,,keep,default_keep,,,
Burial of the Dead,8,8,0,Burial of the Dead,,keep,default_keep,,,
Childbirth,8,8,0,Childbirth,,keep,default_keep,,,
Fifth Sunday in Lent: Passion Sunday,8,8,0,Fifth Sunday in Lent: Passion Sunday,,keep,default_keep,,,
Guild of Health,8,8,6,Guild of Health,,keep,default_keep,,,
Inward Peace,8,8,0,Inward Peace,,keep,default_keep,,,
James M. Todd,8,8,8,James M. Todd,attribution,move_to_attribution,high_tag_attribution_overlap,,,
John Hunter,8,8,7,John Hunter,attribution,move_to_attribution,high_tag_attribution_overlap,,,
L. E. H. Stephens-Hodge,8,8,8,L. E. H. Stephens-Hodge,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Offertory Prayers,8,8,0,Offertory Prayers,,keep,default_keep,,,
Rulers and Statesmen,8,8,0,Rulers and Statesmen,,keep,default_keep,,,
St. Augustine,8,8,8,St. Augustine,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Sunday Called Septuagesima,8,8,0,Sunday Called Septuagesima,,keep,default_keep,,,
William Knight,8,8,5,William Knight,,keep,default_keep,,,
A Prayer Meeting,7,7,0,A Prayer Meeting,,keep,default_keep,,,
After the Third Collect,7,7,7,After the Third Collect,source,move_to_source,non_scriptural_provenance_prefix,,,
Basil Naylor,7,7,7,Basil Naylor,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Canterbury Convocation, 1862",7,7,5,"Canterbury Convocation, 1862",,keep,default_keep,,,
Christmas Eve,7,7,0,Christmas Eve,,keep,default_keep,,,
"Death, the Departed, and the Communion of Saints",7,7,0,"Death, the Departed, and the Communion of Saints",,keep,default_keep,,,
Dedication of Memorial Gifts,7,7,0,Dedication of Memorial Gifts,,keep,default_keep,,,
E. B. Pusey,7,7,6,E. B. Pusey,attribution,move_to_attribution,high_tag_attribution_overlap,,,
First Sunday After Easter,7,7,0,First Sunday After Easter,,keep,default_keep,,,
First Sunday After Trinity,7,7,0,First Sunday After Trinity,,keep,default_keep,,,
First Sunday in Advent,7,7,0,First Sunday in Advent,,keep,default_keep,,,
First Sunday in Lent,7,7,0,First Sunday in Lent,,keep,default_keep,,,
Guidance,7,7,0,Guidance,,keep,default_keep,,,
Lancelot Andrewes,7,7,7,Lancelot Andrewes,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Liturgy of the Catholic Apostolic Church,7,7,3,Liturgy of the Catholic Apostolic Church,,keep,default_keep,,,
Mozarabic Sacramentary,7,7,4,Mozarabic Sacramentary,,keep,default_keep,,,
Prayers Suitable for Use at a Marriage Reunion Service,7,7,0,Prayers Suitable for Use at a Marriage Reunion Service,,keep,default_keep,,,
Second Sunday After Epiphany,7,7,0,Second Sunday After Epiphany,,keep,default_keep,,,
South African Prayer Book,7,7,5,South African Prayer Book,,keep,default_keep,,,
Sunday After Ascension Day,7,7,0,Sunday After Ascension Day,,keep,default_keep,,,
Sunday Called Quinquagesima,7,7,0,Sunday Called Quinquagesima,,keep,default_keep,,,
The Commonwealth,7,7,0,The Commonwealth,,keep,default_keep,,,
W. E. Scudamore,7,7,5,W. E. Scudamore,,keep,default_keep,,,
With all our Strength,7,7,7,With all our Strength,attribution,move_to_attribution,high_tag_attribution_overlap,,,
A Christmas Carol Service,6,6,0,A Christmas Carol Service,,keep,default_keep,,,
Ambrose,6,6,6,Ambrose,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Christina Rossetti,6,6,5,Christina Rossetti,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Collects,6,6,0,Collects,,keep,default_keep,,,
Eleventh Sunday After Trinity,6,6,0,Eleventh Sunday After Trinity,,keep,default_keep,,,
Fifteenth Sunday After Trinity,6,6,0,Fifteenth Sunday After Trinity,,keep,default_keep,,,
First Sunday After Epiphany,6,6,0,First Sunday After Epiphany,,keep,default_keep,,,
Fourteenth Sunday After Trinity,6,6,0,Fourteenth Sunday After Trinity,,keep,default_keep,,,
Fourth Sunday After Epiphany,6,6,0,Fourth Sunday After Epiphany,,keep,default_keep,,,
Fourth Sunday in Advent,6,6,0,Fourth Sunday in Advent,,keep,default_keep,,,
Gregorian Sacramentary,6,6,4,Gregorian Sacramentary,,keep,default_keep,,,
Growth in Grace,6,6,0,Growth in Grace,,keep,default_keep,,,
James Ferguson,6,6,5,James Ferguson,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Liturgy of St. James,6,6,2,Liturgy of St. James,,keep,default_keep,,,
Nineteenth Sunday After Trinity,6,6,0,Nineteenth Sunday After Trinity,,keep,default_keep,,,
Prayer for Mission,6,6,0,Prayer for Mission,,keep,default_keep,,,
Salisbury Book of Occasional Offices,6,6,2,Salisbury Book of Occasional Offices,,keep,default_keep,,,
Second Sunday After Easter,6,6,0,Second Sunday After Easter,,keep,default_keep,,,
Sunday Called Sexagesima,6,6,0,Sunday Called Sexagesima,,keep,default_keep,,,
Sunday Next Before Advent (Trinity Xxv),6,6,0,Sunday Next Before Advent (Trinity Xxv),,keep,default_keep,,,
Tenth Sunday After Trinity,6,6,0,Tenth Sunday After Trinity,,keep,default_keep,,,
Third Sunday After Trinity,6,6,0,Third Sunday After Trinity,,keep,default_keep,,,
A Book of Prayers for Students,5,5,2,A Book of Prayers for Students,,keep,default_keep,,,
Charles Chapman Grafton,5,5,0,Charles Chapman Grafton,,keep,default_keep,,,
Easter Even,5,5,0,Easter Even,,keep,default_keep,,,
Eighteenth Sunday After Trinity,5,5,0,Eighteenth Sunday After Trinity,,keep,default_keep,,,
Eighth Sunday After Trinity,5,5,0,Eighth Sunday After Trinity,,keep,default_keep,,,
Fifth Sunday After Epiphany,5,5,0,Fifth Sunday After Epiphany,,keep,default_keep,,,
Fourth Sunday After Trinity,5,5,0,Fourth Sunday After Trinity,,keep,default_keep,,,
Fourth Sunday in Lent: Mothering Sunday,5,5,0,Fourth Sunday in Lent: Mothering Sunday,,keep,default_keep,,,
General Intercessions,5,5,0,General Intercessions,,keep,default_keep,,,
Harold Anson,5,5,5,Harold Anson,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Harold Riley,5,5,5,Harold Riley,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Jeremy Taylor,5,5,5,Jeremy Taylor,attribution,move_to_attribution,high_tag_attribution_overlap,,,
John Cosin,5,5,4,John Cosin,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Lutheran Church,5,5,5,Lutheran Church,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Monday Before Easter,5,5,0,Monday Before Easter,,keep,default_keep,,,
Ninth Sunday After Trinity,5,5,0,Ninth Sunday After Trinity,,keep,default_keep,,,
Prayers of the World-Wide Church,5,5,3,Prayers of the World-Wide Church,,keep,default_keep,,,
Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,5,5,0,Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,,keep,default_keep,,,
R. M. Benson,5,5,5,R. M. Benson,attribution,move_to_attribution,high_tag_attribution_overlap,,,
