raw_value,assignment_count,file_count,overlap_file_count,overlap_ratio,canonical_value,reviewed_action,reviewed_facet,tag_surface_policy,confidence,rationale,review_notes
After George Wither (Daily Prayer),1,1,1,1.00,After George Wither (Daily Prayer),move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_ambiguous_default_source,
After Mozarabic Sacramentary,1,1,1,1.00,After Mozarabic Sacramentary,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
After Prayers of 1585,1,1,1,1.00,After Prayers of 1585,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_ambiguous_default_source,
After Sir Francis Drake,1,1,1,1.00,After Sir Francis Drake,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After St. Anselm,1,1,1,1.00,After St. Anselm,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After St. Francis of Assisi,1,1,1,1.00,After St. Francis of Assisi,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After St. Fulgentius,1,1,1,1.00,After St. Fulgentius,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After St. Jerome,1,1,1,1.00,After St. Jerome,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After St. Thomas Aquinas,1,1,1,1.00,After St. Thomas Aquinas,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After the 55th Canon of 1603,1,1,1,1.00,After the 55th Canon of 1603,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
After William Laud,1,1,1,1.00,After William Laud,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
An adaptation of the Gelasian prayer,1,1,1,1.00,An adaptation of the Gelasian prayer,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
An adaptation of the House of Commons Prayer,1,1,1,1.00,An adaptation of the House of Commons Prayer,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
