raw_value,assignment_count,file_count,overlap_file_count,overlap_ratio,canonical_value,reviewed_action,reviewed_facet,tag_surface_policy,confidence,rationale,review_notes
Maundy Thursday,10,10,0,0.00,Maundy Thursday,keep,topic,retain_tag,medium,topical_default,
Old People’s Service,10,10,0,0.00,Old People’s Service,keep,topic,retain_tag,medium,topical_default,
Penitence and Pardon,10,10,0,0.00,Penitence and Pardon,keep,topic,retain_tag,medium,topical_default,
Second Sunday in Advent (Bible Sunday),10,10,0,0.00,Second Sunday in Advent (Bible Sunday),keep,topic,retain_tag,medium,topical_default,
The Circumcision,10,10,0,0.00,The Circumcision,keep,topic,retain_tag,medium,topical_default,
W. David O. Taylor,10,10,0,0.00,W. David O. Taylor,keep,topic,retain_tag,medium,topical_default,
A Diocesan Service Book,9,9,8,0.89,A Diocesan Service Book,move_to_source,source_text,remove_from_tags,medium,overlap_and_source_like_label,
Ash Wednesday,9,9,0,0.00,Ash Wednesday,keep,topic,retain_tag,medium,topical_default,
C. J. Vaughan,9,9,8,0.89,C. J. Vaughan,move_to_attribution,attribution_author,remove_from_tags,medium,overlap_and_author_like_label,
Christmas Day,9,9,0,0.00,Christmas Day,keep,topic,retain_tag,medium,topical_default,
Confessions,9,9,0,0.00,Confessions,keep,prayer_type,retain_tag,medium,topical_default,
Faith,9,9,0,0.00,Faith,keep,topic,retain_tag,medium,topical_default,
Holy Baptism,9,9,0,0.00,Holy Baptism,keep,topic,retain_tag,medium,topical_default,
Knowledge and Truth,9,9,0,0.00,Knowledge and Truth,keep,topic,retain_tag,medium,topical_default,
Liturgy of St. Mark,9,9,1,0.11,Liturgy of St. Mark,keep,topic,retain_tag,medium,topical_default,
Love,9,9,0,0.00,Love,keep,topic,retain_tag,medium,topical_default,
Peter Green,9,9,8,0.89,Peter Green,move_to_attribution,attribution_author,remove_from_tags,medium,overlap_and_author_like_label,
Pulpit Prayers,9,9,0,0.00,Pulpit Prayers,keep,prayer_type,retain_tag,medium,topical_default,
The Christian Warfare,9,9,0,0.00,The Christian Warfare,keep,topic,retain_tag,medium,topical_default,
W. E. Orchard,9,9,6,0.67,W. E. Orchard,keep,topic,retain_tag,medium,topical_default,
A Procession of Passion Prayers,8,8,8,1.00,A Procession of Passion Prayers,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Before Bible Study,8,8,0,0.00,Before Bible Study,keep,topic,retain_tag,medium,topical_default,
Burial of the Dead,8,8,0,0.00,Burial of the Dead,keep,topic,retain_tag,medium,topical_default,
Childbirth,8,8,0,0.00,Childbirth,keep,topic,retain_tag,medium,topical_default,
Fifth Sunday in Lent: Passion Sunday,8,8,0,0.00,Fifth Sunday in Lent: Passion Sunday,keep,topic,retain_tag,medium,topical_default,
Guild of Health,8,8,6,0.75,Guild of Health,keep,topic,retain_tag,medium,topical_default,
Inward Peace,8,8,0,0.00,Inward Peace,keep,life_or_church_context,retain_tag,medium,topical_default,
James M. Todd,8,8,8,1.00,James M. Todd,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
John Hunter,8,8,7,0.88,John Hunter,move_to_attribution,attribution_author,remove_from_tags,medium,overlap_and_author_like_label,
L. E. H. Stephens-Hodge,8,8,8,1.00,L. E. H. Stephens-Hodge,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Offertory Prayers,8,8,0,0.00,Offertory Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Rulers and Statesmen,8,8,0,0.00,Rulers and Statesmen,keep,topic,retain_tag,medium,topical_default,
St. Augustine,8,8,8,1.00,St. Augustine,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Sunday Called Septuagesima,8,8,0,0.00,Sunday Called Septuagesima,keep,topic,retain_tag,medium,topical_default,
William Knight,8,8,5,0.62,William Knight,keep,topic,retain_tag,medium,topical_default,
A Prayer Meeting,7,7,0,0.00,A Prayer Meeting,keep,prayer_type,retain_tag,medium,topical_default,
After the Third Collect,7,7,7,1.00,After the Third Collect,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_ambiguous_default_source,
Basil Naylor,7,7,7,1.00,Basil Naylor,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
"Canterbury Convocation, 1862",7,7,5,0.71,"Canterbury Convocation, 1862",keep,topic,retain_tag,medium,topical_default,
Christmas Eve,7,7,0,0.00,Christmas Eve,keep,topic,retain_tag,medium,topical_default,
"Death, the Departed, and the Communion of Saints",7,7,0,0.00,"Death, the Departed, and the Communion of Saints",keep,topic,retain_tag,medium,topical_default,
Dedication of Memorial Gifts,7,7,0,0.00,Dedication of Memorial Gifts,keep,topic,retain_tag,medium,topical_default,
E. B. Pusey,7,7,6,0.86,E. B. Pusey,move_to_attribution,attribution_author,remove_from_tags,medium,overlap_and_author_like_label,
First Sunday After Easter,7,7,0,0.00,First Sunday After Easter,keep,topic,retain_tag,medium,topical_default,
First Sunday After Trinity,7,7,0,0.00,First Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
First Sunday in Advent,7,7,0,0.00,First Sunday in Advent,keep,topic,retain_tag,medium,topical_default,
First Sunday in Lent,7,7,0,0.00,First Sunday in Lent,keep,topic,retain_tag,medium,topical_default,
Guidance,7,7,0,0.00,Guidance,keep,topic,retain_tag,medium,topical_default,
Lancelot Andrewes,7,7,7,1.00,Lancelot Andrewes,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Liturgy of the Catholic Apostolic Church,7,7,3,0.43,Liturgy of the Catholic Apostolic Church,keep,life_or_church_context,retain_tag,medium,topical_default,
Mozarabic Sacramentary,7,7,4,0.57,Mozarabic Sacramentary,keep,topic,retain_tag,medium,topical_default,
Prayers Suitable for Use at a Marriage Reunion Service,7,7,0,0.00,Prayers Suitable for Use at a Marriage Reunion Service,keep,prayer_type,retain_tag,medium,topical_default,
Second Sunday After Epiphany,7,7,0,0.00,Second Sunday After Epiphany,keep,topic,retain_tag,medium,topical_default,
South African Prayer Book,7,7,5,0.71,South African Prayer Book,keep,prayer_type,retain_tag,medium,topical_default,
Sunday After Ascension Day,7,7,0,0.00,Sunday After Ascension Day,keep,topic,retain_tag,medium,topical_default,
Sunday Called Quinquagesima,7,7,0,0.00,Sunday Called Quinquagesima,keep,topic,retain_tag,medium,topical_default,
The Commonwealth,7,7,0,0.00,The Commonwealth,keep,topic,retain_tag,medium,topical_default,
W. E. Scudamore,7,7,5,0.71,W. E. Scudamore,keep,topic,retain_tag,medium,topical_default,
With all our Strength,7,7,7,1.00,With all our Strength,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
A Christmas Carol Service,6,6,0,0.00,A Christmas Carol Service,keep,topic,retain_tag,medium,topical_default,
Ambrose,6,6,6,1.00,Ambrose,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Christina Rossetti,6,6,5,0.83,Christina Rossetti,move_to_attribution,attribution_author,remove_from_tags,medium,overlap_and_author_like_label,
Collects,6,6,0,0.00,Collects,keep,prayer_type,retain_tag,medium,topical_default,
Eleventh Sunday After Trinity,6,6,0,0.00,Eleventh Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Fifteenth Sunday After Trinity,6,6,0,0.00,Fifteenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
First Sunday After Epiphany,6,6,0,0.00,First Sunday After Epiphany,keep,topic,retain_tag,medium,topical_default,
Fourteenth Sunday After Trinity,6,6,0,0.00,Fourteenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Fourth Sunday After Epiphany,6,6,0,0.00,Fourth Sunday After Epiphany,keep,topic,retain_tag,medium,topical_default,
Fourth Sunday in Advent,6,6,0,0.00,Fourth Sunday in Advent,keep,topic,retain_tag,medium,topical_default,
Gregorian Sacramentary,6,6,4,0.67,Gregorian Sacramentary,keep,topic,retain_tag,medium,topical_default,
Growth in Grace,6,6,0,0.00,Growth in Grace,keep,topic,retain_tag,medium,topical_default,
James Ferguson,6,6,5,0.83,James Ferguson,move_to_attribution,attribution_author,remove_from_tags,medium,overlap_and_author_like_label,
Liturgy of St. James,6,6,2,0.33,Liturgy of St. James,keep,topic,retain_tag,medium,topical_default,
Nineteenth Sunday After Trinity,6,6,0,0.00,Nineteenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Prayer for Mission,6,6,0,0.00,Prayer for Mission,keep,prayer_type,retain_tag,medium,topical_default,
Salisbury Book of Occasional Offices,6,6,2,0.33,Salisbury Book of Occasional Offices,keep,topic,retain_tag,medium,topical_default,
Second Sunday After Easter,6,6,0,0.00,Second Sunday After Easter,keep,topic,retain_tag,medium,topical_default,
Sunday Called Sexagesima,6,6,0,0.00,Sunday Called Sexagesima,keep,topic,retain_tag,medium,topical_default,
Sunday Next Before Advent (Trinity Xxv),6,6,0,0.00,Sunday Next Before Advent (Trinity Xxv),keep,topic,retain_tag,medium,topical_default,
Tenth Sunday After Trinity,6,6,0,0.00,Tenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Third Sunday After Trinity,6,6,0,0.00,Third Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
A Book of Prayers for Students,5,5,2,0.40,A Book of Prayers for Students,keep,prayer_type,retain_tag,medium,topical_default,
Charles Chapman Grafton,5,5,0,0.00,Charles Chapman Grafton,keep,topic,retain_tag,medium,topical_default,
Easter Even,5,5,0,0.00,Easter Even,keep,topic,retain_tag,medium,topical_default,
Eighteenth Sunday After Trinity,5,5,0,0.00,Eighteenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Eighth Sunday After Trinity,5,5,0,0.00,Eighth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Fifth Sunday After Epiphany,5,5,0,0.00,Fifth Sunday After Epiphany,keep,topic,retain_tag,medium,topical_default,
Fourth Sunday After Trinity,5,5,0,0.00,Fourth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Fourth Sunday in Lent: Mothering Sunday,5,5,0,0.00,Fourth Sunday in Lent: Mothering Sunday,keep,topic,retain_tag,medium,topical_default,
General Intercessions,5,5,0,0.00,General Intercessions,keep,topic,retain_tag,medium,topical_default,
Harold Anson,5,5,5,1.00,Harold Anson,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Harold Riley,5,5,5,1.00,Harold Riley,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Jeremy Taylor,5,5,5,1.00,Jeremy Taylor,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
John Cosin,5,5,4,0.80,John Cosin,move_to_attribution,attribution_author,remove_from_tags,medium,overlap_and_author_like_label,
Lutheran Church,5,5,5,1.00,Lutheran Church,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Monday Before Easter,5,5,0,0.00,Monday Before Easter,keep,topic,retain_tag,medium,topical_default,
Ninth Sunday After Trinity,5,5,0,0.00,Ninth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Prayers of the World-Wide Church,5,5,3,0.60,Prayers of the World-Wide Church,keep,prayer_type,retain_tag,medium,topical_default,
Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,5,5,0,0.00,Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,keep,prayer_type,retain_tag,medium,topical_default,
R. M. Benson,5,5,5,1.00,R. M. Benson,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Richard D. Acland,5,5,5,1.00,Richard D. Acland,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Rites of Healing (Prayers for Use by a Sick Person),5,5,0,0.00,Rites of Healing (Prayers for Use by a Sick Person),keep,prayer_type,retain_tag,medium,topical_default,
Ruby E. Cleeve,5,5,5,1.00,Ruby E. Cleeve,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Second Sunday in Lent,5,5,0,0.00,Second Sunday in Lent,keep,topic,retain_tag,medium,topical_default,
Seventeenth Sunday After Trinity,5,5,0,0.00,Seventeenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Sixteenth Sunday After Trinity,5,5,0,0.00,Sixteenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Sixth Sunday After Epiphany,5,5,0,0.00,Sixth Sunday After Epiphany,keep,topic,retain_tag,medium,topical_default,
Sunday After Christmas,5,5,0,0.00,Sunday After Christmas,keep,topic,retain_tag,medium,topical_default,
The Spirit of Service,5,5,0,0.00,The Spirit of Service,keep,topic,retain_tag,medium,topical_default,
Third Sunday After Epiphany,5,5,0,0.00,Third Sunday After Epiphany,keep,topic,retain_tag,medium,topical_default,
Third Sunday in Advent,5,5,0,0.00,Third Sunday in Advent,keep,topic,retain_tag,medium,topical_default,
Third Sunday in Lent,5,5,0,0.00,Third Sunday in Lent,keep,topic,retain_tag,medium,topical_default,
Thomas Ken,5,5,5,1.00,Thomas Ken,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Twentieth Sunday After Trinity,5,5,0,0.00,Twentieth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Twenty-Second Sunday After Trinity,5,5,0,0.00,Twenty-Second Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Vesting Prayers,5,5,0,0.00,Vesting Prayers,keep,prayer_type,retain_tag,medium,topical_default,
W. Walsham How,5,5,2,0.40,W. Walsham How,keep,topic,retain_tag,medium,topical_default,
"A Form of Prayer, May 1940",4,4,4,1.00,"A Form of Prayer, May 1940",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
A. McCheane,4,4,0,0.00,A. McCheane,keep,topic,retain_tag,medium,topical_default,
Clement of Rome,4,4,4,1.00,Clement of Rome,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Country Services,4,4,3,0.75,Country Services,keep,topic,retain_tag,medium,topical_default,
E. W. Benson,4,4,3,0.75,E. W. Benson,keep,topic,retain_tag,medium,topical_default,
Ember Days,4,4,0,0.00,Ember Days,keep,topic,retain_tag,medium,topical_default,
Fifth Sunday After Trinity,4,4,0,0.00,Fifth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Fourth Sunday After Easter,4,4,0,0.00,Fourth Sunday After Easter,keep,topic,retain_tag,medium,topical_default,
Guild of St. Raphael,4,4,4,1.00,Guild of St. Raphael,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
J. Armitage Robinson,4,4,3,0.75,J. Armitage Robinson,keep,topic,retain_tag,medium,topical_default,
John Donne,4,4,4,1.00,John Donne,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
John Wesley’s Prayers,4,4,2,0.50,John Wesley’s Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Mothers’ Union,4,4,4,1.00,Mothers’ Union,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
National Days,4,4,0,0.00,National Days,keep,topic,retain_tag,medium,topical_default,
Percy Dearmer,4,4,3,0.75,Percy Dearmer,keep,topic,retain_tag,medium,topical_default,
Rogation Days,4,4,0,0.00,Rogation Days,keep,topic,retain_tag,medium,topical_default,
Second Sunday After Trinity,4,4,0,0.00,Second Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Sixth Sunday After Trinity,4,4,0,0.00,Sixth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
The Christmas Crib,4,4,0,0.00,The Christmas Crib,keep,topic,retain_tag,medium,topical_default,
The Eastern Church,4,4,0,0.00,The Eastern Church,keep,life_or_church_context,retain_tag,medium,topical_default,
Third Sunday After Easter,4,4,0,0.00,Third Sunday After Easter,keep,topic,retain_tag,medium,topical_default,
Thirteenth Sunday After Trinity,4,4,0,0.00,Thirteenth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Twelfth Sunday After Trinity,4,4,0,0.00,Twelfth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Twenty-First Sunday After Trinity,4,4,0,0.00,Twenty-First Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Twenty-Fourth Sunday After Trinity,4,4,0,0.00,Twenty-Fourth Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Twenty-Third Sunday After Trinity,4,4,0,0.00,Twenty-Third Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
William Laud,4,4,2,0.50,William Laud,keep,topic,retain_tag,medium,topical_default,
"A Form of Prayer, August 1914",3,3,3,1.00,"A Form of Prayer, August 1914",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
"A Form of Prayer, August 1918",3,3,2,0.67,"A Form of Prayer, August 1918",keep,prayer_type,retain_tag,medium,topical_default,
After Jeremy Taylor,3,3,3,1.00,After Jeremy Taylor,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
"Anglican Altar Services, 1941",3,3,3,1.00,"Anglican Altar Services, 1941",move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Arthur W. Robinson,3,3,3,1.00,Arthur W. Robinson,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Basil,3,3,3,1.00,Basil,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Charles H. Brent,3,3,2,0.67,Charles H. Brent,keep,topic,retain_tag,medium,topical_default,
E. M. Goulburn,3,3,3,1.00,E. M. Goulburn,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
E. Milner-White,3,3,3,1.00,E. Milner-White,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Erasmus,3,3,1,0.33,Erasmus,keep,topic,retain_tag,medium,topical_default,
For the Blessing of a Civil Marriage,3,3,0,0.00,For the Blessing of a Civil Marriage,keep,life_or_church_context,retain_tag,medium,topical_default,
Gallican Sacramentary,3,3,2,0.67,Gallican Sacramentary,keep,topic,retain_tag,medium,topical_default,
Gavin Hamilton,3,3,2,0.67,Gavin Hamilton,keep,topic,retain_tag,medium,topical_default,
George H. Russell,3,3,1,0.33,George H. Russell,keep,topic,retain_tag,medium,topical_default,
George Timms,3,3,3,1.00,George Timms,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
"German Reformed Church, U.S.A.",3,3,3,1.00,"German Reformed Church, U.S.A.",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Handley C. G. Moule,3,3,1,0.33,Handley C. G. Moule,keep,topic,retain_tag,medium,topical_default,
J. Mountain,3,3,0,0.00,J. Mountain,keep,topic,retain_tag,medium,topical_default,
James Martineau,3,3,2,0.67,James Martineau,keep,topic,retain_tag,medium,topical_default,
John Chrysostom,3,3,3,1.00,John Chrysostom,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Monday in Easter Week,3,3,0,0.00,Monday in Easter Week,keep,topic,retain_tag,medium,topical_default,
Nerses of Clajes,3,3,3,1.00,Nerses of Clajes,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Old Gallican Sacramentary,3,3,0,0.00,Old Gallican Sacramentary,keep,topic,retain_tag,medium,topical_default,
Ryan Willers,3,3,3,1.00,Ryan Willers,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Seventh Sunday After Trinity,3,3,0,0.00,Seventh Sunday After Trinity,keep,topic,retain_tag,medium,topical_default,
Student Prayer,3,3,1,0.33,Student Prayer,keep,prayer_type,retain_tag,medium,topical_default,
The Clementine Liturgy,3,3,0,0.00,The Clementine Liturgy,keep,topic,retain_tag,medium,topical_default,
The Daily Service,3,3,3,1.00,The Daily Service,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
The Nation (Specific to Canada),3,3,0,0.00,The Nation (Specific to Canada),keep,life_or_church_context,retain_tag,medium,topical_default,
The Nation (Specific to the United States or Mexico),3,3,0,0.00,The Nation (Specific to the United States or Mexico),keep,life_or_church_context,retain_tag,medium,topical_default,
Thomas Wilson,3,3,1,0.33,Thomas Wilson,keep,topic,retain_tag,medium,topical_default,
Tuesday Before Easter,3,3,0,0.00,Tuesday Before Easter,keep,topic,retain_tag,medium,topical_default,
Tuesday in Easter Week,3,3,0,0.00,Tuesday in Easter Week,keep,topic,retain_tag,medium,topical_default,
W. H. Frere,3,3,2,0.67,W. H. Frere,keep,topic,retain_tag,medium,topical_default,
Wednesday Before Easter,3,3,0,0.00,Wednesday Before Easter,keep,topic,retain_tag,medium,topical_default,
A Book of Public Worship,2,2,2,1.00,A Book of Public Worship,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
A Book of Services and Prayers,2,2,2,1.00,A Book of Services and Prayers,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
A Devotional Diary,2,2,2,1.00,A Devotional Diary,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
A New Prayer Book,2,2,2,1.00,A New Prayer Book,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Adapted from Gelasian Sacramentary,2,2,2,1.00,Adapted from Gelasian Sacramentary,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from Irish Prayer Book,2,2,2,1.00,Adapted from Irish Prayer Book,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Adapted from Jeremy Taylor,2,2,2,1.00,Adapted from Jeremy Taylor,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Adapted from various sources,2,2,2,1.00,Adapted from various sources,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
After Gelasian Sacramentary,2,2,2,1.00,After Gelasian Sacramentary,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
After J. H. Newman,2,2,2,1.00,After J. H. Newman,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After Lancelot Andrewes,2,2,2,1.00,After Lancelot Andrewes,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
After St. Augustine,2,2,2,1.00,After St. Augustine,move_to_attribution,attribution_author,remove_from_tags,high,after_prefix_author_attribution,
Alcuin,2,2,2,1.00,Alcuin,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Ashton Oxenden,2,2,0,0.00,Ashton Oxenden,keep,topic,retain_tag,medium,topical_default,
Barnabas,2,2,2,1.00,Barnabas,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Based on Book of Common Prayer,2,2,2,1.00,Based on Book of Common Prayer,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Book of Prayers for Students,2,2,1,0.50,Book of Prayers for Students,keep,prayer_type,retain_tag,medium,topical_default,
Charles Kingsley,2,2,2,1.00,Charles Kingsley,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Christian von Bunsen,2,2,1,0.50,Christian von Bunsen,keep,topic,retain_tag,medium,topical_default,
Convocation of York,2,2,2,1.00,Convocation of York,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Coptic Liturgy of St. Cyril,2,2,1,0.50,Coptic Liturgy of St. Cyril,keep,topic,retain_tag,medium,topical_default,
Diocese of Southwark,2,2,1,0.50,Diocese of Southwark,keep,topic,retain_tag,medium,topical_default,
Eugene Bersier,2,2,1,0.50,Eugene Bersier,keep,topic,retain_tag,medium,topical_default,
F. T. Woods,2,2,2,1.00,F. T. Woods,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Frank Houghton,2,2,2,1.00,Frank Houghton,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Frederick Temple,2,2,2,1.00,Frederick Temple,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
From a prayer of the Eastern Church,2,2,2,1.00,From a prayer of the Eastern Church,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
From the Accession Service,2,2,2,1.00,From the Accession Service,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
G. C. Binyon,2,2,1,0.50,G. C. Binyon,keep,topic,retain_tag,medium,topical_default,
Gordon Hewitt,2,2,2,1.00,Gordon Hewitt,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Gothic Missal,2,2,1,0.50,Gothic Missal,keep,topic,retain_tag,medium,topical_default,
H. F. Leatherland,2,2,2,1.00,H. F. Leatherland,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Henry P. Liddon,2,2,2,1.00,Henry P. Liddon,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
J. Taylor Smith,2,2,0,0.00,J. Taylor Smith,keep,topic,retain_tag,medium,topical_default,
James Mountain,2,2,1,0.50,James Mountain,keep,topic,retain_tag,medium,topical_default,
John Dowden,2,2,2,1.00,John Dowden,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
John Wordsworth,2,2,2,1.00,John Wordsworth,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
"King’s College, Cambridge",2,2,2,1.00,"King’s College, Cambridge",move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Leslie D. Weatherhead,2,2,2,1.00,Leslie D. Weatherhead,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Leslie S. Hunter,2,2,2,1.00,Leslie S. Hunter,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Let Us Pray,2,2,2,1.00,Let Us Pray,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Liturgy of the Blessed Apostles,2,2,0,0.00,Liturgy of the Blessed Apostles,keep,topic,retain_tag,medium,topical_default,
Margaret Cropper,2,2,2,1.00,Margaret Cropper,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
"National Mission, 1916",2,2,2,1.00,"National Mission, 1916",move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Office of None,2,2,2,1.00,Office of None,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Office of Sext,2,2,2,1.00,Office of Sext,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Polycarp,2,2,2,1.00,Polycarp,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
"Prayers for Education Sunday, 1956",2,2,2,1.00,"Prayers for Education Sunday, 1956",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Religious Drama Society,2,2,2,1.00,Religious Drama Society,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Salisbury Cathedral,2,2,2,1.00,Salisbury Cathedral,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Samuel Johnson,2,2,1,0.50,Samuel Johnson,keep,topic,retain_tag,medium,topical_default,
Seasonal,2,2,0,0.00,Seasonal,keep,topic,retain_tag,medium,topical_default,
Southwark Diocese,2,2,2,1.00,Southwark Diocese,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
St. Anselm,2,2,2,1.00,St. Anselm,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
St. Francis of Assisi,2,2,2,1.00,St. Francis of Assisi,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
St. Ignatius Loyola,2,2,2,1.00,St. Ignatius Loyola,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Sursum Corda,2,2,2,1.00,Sursum Corda,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Thanksgivings for Family and Personal Life,2,2,0,0.00,Thanksgivings for Family and Personal Life,keep,prayer_type,retain_tag,medium,topical_default,
