attribution,assignment_count,file_count,section_count,as_tag_overlap_count
Book of Prayers for Students*,1,1,1,0
Book of Public Worship,1,1,1,1
British Hospital for Mothers and Babies,1,1,1,1
Brompton Parish Church,1,1,1,1
C. C. B. Bardsley*,1,1,1,0
C. J. Vaughan*,1,1,1,0
C. M. Blagden,1,1,1,1
C. S. Woodward,1,1,1,1
C.I.P.B.C. Prayer Book,1,1,1,1
Central Board of Finance,1,1,1,1
Charles F. d’Arcy,1,1,1,1
Charles Gore,1,1,1,1
Charles H. Brent*,1,1,1,0
Christian von Bunsen,1,1,1,1
Christian von Bunsen*,1,1,1,0
Christina Rossetti*,1,1,1,0
Church Army,1,1,1,1
Church’s Ministry among the Jews,1,1,1,1
Clement of Alexandria,1,1,1,1
Collect of Easter Even,1,1,1,1
Community of the Resurrection,1,1,1,1
Coptic Liturgy of St. Cyril,1,1,1,1
Country Services*,1,1,1,0
Daily Prayer*,1,1,1,0
Daybreak Office of the Eastern Church,1,1,1,1
Diocese of Rochester,1,1,1,1
Diocese of Southwark,1,1,1,1
Diocese of Southwark*,1,1,1,0
Diocese of Uganda,1,1,1,1
Douglas Crick,1,1,1,1
E. B. Pusey*,1,1,1,0
E. C. Ratcliff*,1,1,1,0
E. M. Venables*,1,1,1,0
E. W. Benson*,1,1,1,0
Edward Hawkins,1,1,1,1
Emil E. Fischer,1,1,1,1
Ephesians 3:14–19,1,1,1,1
"Ephesians 3:20, 21",1,1,1,1
Erasmus,1,1,1,1
Eric Fenn,1,1,1,1
Eugene Bersier,1,1,1,1
Eugene Bersier*,1,1,1,0
F. D. Maurice,1,1,1,1
F. J. A. Hort*,1,1,1,0
Faith and Order Conference Manual*,1,1,1,0
Fellowship Litanies,1,1,1,1
Fielding Ould,1,1,1,1
Fifth century,1,1,1,1
"Form of National Prayer, 1942",1,1,1,1
"Form of National Prayer, May 1940",1,1,1,1
Francis J. Moore*,1,1,1,0
Francis Xavier,1,1,1,1
Franciscan Breviary,1,1,1,1
Frank Edward Brightman,1,1,1,1
From an ancient prayer,1,1,1,1
From Book of Common Prayer,1,1,1,1
From Primer of 1555,1,1,1,1
From the Gothic,1,1,1,1
From the Litany,1,1,1,1
From the Liturgy of Malabar,1,1,1,1
From the Order of Compline,1,1,1,1
G. C. Binyon,1,1,1,1
G. C. Binyon*,1,1,1,0
G. E. L. Cotton,1,1,1,1
Gavin Hamilton*,1,1,1,0
Geneva Bible,1,1,1,1
Geoffrey F. Fisher,1,1,1,1
George Adam Smith,1,1,1,1
George Dawson*,1,1,1,0
George H. Russell,1,1,1,1
George Hickes,1,1,1,1
George Timms (after C. J. Vaughan),1,1,1,1
Gladys E. Bretherton,1,1,1,1
"Godly Prayers, 1559*",1,1,1,0
Gothic Missal,1,1,1,1
Gothic Missal *,1,1,1,0
Gregory Nazianzen,1,1,1,1
Guildford Diocese,1,1,1,1
H. Bisseker,1,1,1,1
H. C. Cooksey,1,1,1,1
H. J. Wotherspoon,1,1,1,1
H. Stobat,1,1,1,1
Handley C. G. Moule,1,1,1,1
"Hebrews 13:20, 21",1,1,1,1
Henry Hayman,1,1,1,1
Henry Scott Holland,1,1,1,1
Hugh Martin,1,1,1,1
Ignatius,1,1,1,1
In the Tradition of Francis of Assisi,1,1,1,1
In Watchings Often,1,1,1,1
Inter-Varsity Fellowship*,1,1,1,0
Irenaeus,1,1,1,1
J. Armitage Robinson*,1,1,1,0
J. H. Oldham,1,1,1,1
J. W. Suter,1,1,1,1
James Ferguson*,1,1,1,0
James Martineau*,1,1,1,0
James Mountain,1,1,1,1
James Mountain*,1,1,1,0
James Wareham,1,1,1,1
John Calvin,1,1,1,1
John Cosin*,1,1,1,0
John Henry Newman,1,1,1,1
John Hunter*,1,1,1,0
John Wesley,1,1,1,1
Joost de Blank,1,1,1,1
Joseph Hall,1,1,1,1
Joseph Mercier,1,1,1,1
"Jude 24, 25",1,1,1,1
Julian of Norwich,1,1,1,1
King Alfred,1,1,1,1
"King’s College Chapel, Cambridge",1,1,1,1
"Knox’s Book of Common Order, 1564",1,1,1,1
L. Tuttiet,1,1,1,1
"Lambeth Conference, 1930",1,1,1,1
"Lambeth Conference, 1958",1,1,1,1
Laurence Binyon,1,1,1,1
"Leaflet of the Collegium, 1914",1,1,1,1
Leonine Sacramentary*,1,1,1,0
Lionel James,1,1,1,1
Liturgy of St. Basil,1,1,1,1
Liturgy of St. Dionysius,1,1,1,1
Liturgy of St. Mark,1,1,1,1
Liturgy of the Reformed Church of France,1,1,1,1
Luke 2:15; Isaiah 9:6,1,1,1,1
M. A. P. Wood (after St. Augustine),1,1,1,1
Macrina the Younger,1,1,1,1
Mandell Creighton,1,1,1,1
Miles Coverdale,1,1,1,1
Mozarabic Liturgy,1,1,1,1
Nicholas Ridley,1,1,1,1
Non-Jurors’ Prayer Book,1,1,1,1
Nonjurors’ Prayer Book,1,1,1,1
Office of Compline,1,1,1,1
Old Galilean*,1,1,1,0
Olive Warner,1,1,1,1
Order of Compline,1,1,1,1
Oxford Diocesan Service Book,1,1,1,1
Pakenham Walsh,1,1,1,1
"Peace Prayers, 1946",1,1,1,1
Percy Dearmer*,1,1,1,0
Peter Green*,1,1,1,0
Prayer of the Order,1,1,1,1
Prayer of the Order of the Garter,1,1,1,1
"Prayers for Education Sunday, 1957",1,1,1,1
Praying for the Church Overseas,1,1,1,1
Praying for Unity,1,1,1,1
Priest’s Book of Private Devotion,1,1,1,1
Priest’s Prayer Book,1,1,1,1
"Psalms 104:24; 145:15, 16, 21",1,1,1,1
R. Ambrose Reeves,1,1,1,1
R. W. Stewart,1,1,1,1
Randall T. Davidson,1,1,1,1
"Revelation 1:5, 6",1,1,1,1
Revelation 4:11; 5:13,1,1,1,1
Richard Baxter*,1,1,1,0
Richard of Chichester,1,1,1,1
Robert N. Rodenmeyer,1,1,1,1
Robert Nelson,1,1,1,1
Roman Breviary,1,1,1,1
Roman Missal,1,1,1,1
Russian Contakion of the Departed,1,1,1,1
Rydal School Hymnal,1,1,1,1
S. Gladstone*,1,1,1,0
S. P. T. Prideaux,1,1,1,1
Samuel Johnson,1,1,1,1
Samuel Johnson*,1,1,1,0
Sarum Breviary,1,1,1,1
Sarum Missal,1,1,1,1
School Prayers*,1,1,1,0
Service Book for the Young,1,1,1,1
"St. Aldate’s Church, Oxford",1,1,1,1
St. Benedict,1,1,1,1
St. Hilary of Poitiers*,1,1,1,0
St. Patrick’s Breastplate,1,1,1,1
St. Paul’s Cathedral,1,1,1,1
St. Richard of Chichester,1,1,1,1
St. Thomas Aquinas,1,1,1,1
Student Christian Movement,1,1,1,1
Student Prayer,1,1,1,1
Suzanne de Dietrich,1,1,1,1
Te Deum,1,1,1,1
The Boys’ Prayer Book,1,1,1,1
The C.M.S. Prayer adapted,1,1,1,1
The Earl of Meath*,1,1,1,0
"The Missionary Conference, 1894",1,1,1,1
"The Missionary Conference, 1894*",1,1,1,0
The Narrow Way,1,1,1,1
The Prayer Manual,1,1,1,1
The Royal Maundy,1,1,1,1
The Splendour of God,1,1,1,1
The Splendour of God*,1,1,1,0
The Unfolding Year,1,1,1,1
Thomas Aquinas,1,1,1,1
Thomas Becon,1,1,1,1
Thomas Wilson,1,1,1,1
Toc H Prayers,1,1,1,1
"Trinity College, Dublin",1,1,1,1
"United Lutheran Church, U.S.A.",1,1,1,1
United Society for Christian Literature,1,1,1,1
Uppingham School Prayers,1,1,1,1
W. Bellars*,1,1,1,0
W. Boyd Carpenter*,1,1,1,0
W. Charter Piggott,1,1,1,1
W. H. Frere*,1,1,1,0
W. Hay Aitken,1,1,1,1
W. J. Butler*,1,1,1,0
W. K. Hamilton*,1,1,1,0
W. L. Anderson,1,1,1,1
W. M. Clow,1,1,1,1
W. Rigby Murray,1,1,1,1
W. Walshanz How*,1,1,1,0
W. Waltham How*,1,1,1,0
"War Prayers, 1940",1,1,1,1
Westminster Prayers*,1,1,1,0
When Two or Three,1,1,1,1
Wilfred B. Hornby,1,1,1,1
William Bright *,1,1,1,0
William Martin*,1,1,1,0
Winchester Cathedral,1,1,1,1
York Diocese,1,1,1,1
"York Minster, 1547",1,1,1,1
