value,overlap_file_count,tag_assignment_count,attribution_assignment_count,section_count,sections
Adapted from Micah 6:8,1,1,1,1,parish-devotional
Adapted from Mozarabic Sacramentary,1,1,1,1,parish-sacraments
Adapted from Prayers for the Christian Year,1,1,1,1,parish-year
Adapted from Roman Breviary,1,1,1,1,parish-year
Adapted from Sarum Missal,1,1,1,1,parish-year
Adapted from Sarum Primer,1,1,1,1,parish-intercessory
Adapted from Scottish Prayer Book,1,1,1,1,parish-supplementary
Adapted from St. Nerses of Clajes,1,1,1,1,parish-year
Adapted from Student Prayer,1,1,1,1,parish-supplementary
Adapted from Thomas Arnold,1,1,1,1,parish-intercessory
After A. J. Mason,1,1,1,1,parish-intercessory
After Christina Rossetti,1,1,1,1,parish-year
After George Wither (Daily Prayer),1,1,1,1,parish-year
After Mozarabic Sacramentary,1,1,1,1,parish-year
After Prayers of 1585,1,1,1,1,parish-intercessory
After Sir Francis Drake,1,1,1,1,parish-devotional
After St. Anselm,1,1,1,1,parish-intercessory
After St. Francis of Assisi,1,1,1,1,parish-occasions
After St. Fulgentius,1,1,1,1,parish-devotional
After St. Jerome,1,1,1,1,parish-supplementary
After St. Thomas Aquinas,1,1,1,1,parish-devotional
After the 55th Canon of 1603,1,1,1,1,parish-intercessory
After William Laud,1,1,1,1,parish-intercessory
An adaptation of the Gelasian prayer,1,1,1,1,parish-intercessory
An adaptation of the House of Commons Prayer,1,1,1,1,parish-intercessory
Anselm of Canterbury,1,1,1,1,acna2019
"Austrian Church Order, 1571",1,1,1,1,parish-year
Based on 1 Peter 1:3–5,1,1,1,1,parish-year
Based on 1 Peter 4:10–11,1,1,1,1,parish-year
Based on 2 Corinthians 4:6,1,1,1,1,parish-supplementary
"Based on 2 John 3:23, 24",1,1,1,1,parish-year
Based on 2 Timothy 3:5–17,1,1,1,1,parish-supplementary
Based on a 16th century prayer,1,1,1,1,parish-occasions
"Based on a prayer of the Pan-Anglican Congress, 1908",1,1,1,1,parish-intercessory
Based on a sixteenth century prayer,1,1,1,1,parish-devotional
Based on Colossians 1:10–12,1,1,1,1,parish-year
Based on Colossians 3:1–4,1,1,1,1,parish-year
Based on Confirmation Service,1,1,1,1,parish-sacraments
Based on Ephesians 1:17–21,1,1,1,1,parish-devotional
Based on Ephesians 4:11–13,1,1,1,1,parish-intercessory
Based on Ephesians 4:30–32,1,1,1,1,parish-year
Based on Ephesians 4:4–6,1,1,1,1,parish-year
Based on Ephesians 6:11–17,1,1,1,1,parish-year
"Based on Galatians 5:22, 23",1,1,1,1,parish-year
Based on Hebrews 10:19–24,1,1,1,1,parish-year
"Based on Hebrews 13:20, 21",1,1,1,1,parish-year
Based on John 4:23; Isaiah 29:13; Psalm 103.,1,1,1,1,parish-devotional
Based on Luke 8:15,1,1,1,1,parish-year
Based on Numbers 6:24–26,1,1,1,1,parish-devotional
Based on Philippians 1:9–11,1,1,1,1,parish-year
Based on Philippians 2:8–11,1,1,1,1,parish-year
Based on Philippians 2:9–11,1,1,1,1,parish-devotional
Based on Philippians 4:4–7,1,1,1,1,parish-year
"Based on Psalm 119. 105, 18, 162",1,1,1,1,parish-supplementary
Based on Psalm 23:1–3,1,1,1,1,parish-year
Based on Romans 12:19–21,1,1,1,1,parish-year
Based on Romans 15:13,1,1,1,1,parish-year
