raw_value,assignment_count,file_count,canonical_value,action,notes
Adapted from a prayer of S.P.C.K.,1,1,Adapted from a prayer of S.P.C.K.,keep,
Adapted from a prayer of St. Thomas Aquinas,1,1,Adapted from a prayer of St. Thomas Aquinas,keep,
Adapted from an ancient collect,1,1,Adapted from an ancient collect,keep,
Adapted from Book of Common Order,1,1,Adapted from Book of Common Order,keep,
Adapted from Didache,1,1,Adapted from Didache,keep,
Adapted from George Appleton,1,1,Adapted from George Appleton,keep,
Adapted from John Donne,1,1,Adapted from John Donne,keep,
Adapted from Lancelot Andrewes (Daily Prayer),1,1,Adapted from Lancelot Andrewes (Daily Prayer),keep,
Adapted from Liturgy of St. James,1,1,Adapted from Liturgy of St. James,keep,
Adapted from Micah 6:8,1,1,Adapted from Micah 6:8,keep,
Adapted from Mozarabic Sacramentary,1,1,Adapted from Mozarabic Sacramentary,keep,
Adapted from Prayers for the Christian Year,1,1,Adapted from Prayers for the Christian Year,keep,
Adapted from Roman Breviary,1,1,Adapted from Roman Breviary,keep,
Adapted from Sarum Missal,1,1,Adapted from Sarum Missal,keep,
Adapted from Sarum Primer,1,1,Adapted from Sarum Primer,keep,
Adapted from Scottish Prayer Book,1,1,Adapted from Scottish Prayer Book,keep,
Adapted from St. Nerses of Clajes,1,1,Adapted from St. Nerses of Clajes,keep,
Adapted from Student Prayer,1,1,Adapted from Student Prayer,keep,
Adapted from Thomas Arnold,1,1,Adapted from Thomas Arnold,keep,
After A. J. Mason,1,1,After A. J. Mason,keep,
After Christina Rossetti,1,1,After Christina Rossetti,keep,
After George Wither (Daily Prayer),1,1,After George Wither (Daily Prayer),keep,
After Mozarabic Sacramentary,1,1,After Mozarabic Sacramentary,keep,
After Prayers of 1585,1,1,After Prayers of 1585,keep,
After Sir Francis Drake,1,1,After Sir Francis Drake,keep,
After St. Anselm,1,1,After St. Anselm,keep,
After St. Francis of Assisi,1,1,After St. Francis of Assisi,keep,
After St. Fulgentius,1,1,After St. Fulgentius,keep,
After St. Jerome,1,1,After St. Jerome,keep,
After St. Thomas Aquinas,1,1,After St. Thomas Aquinas,keep,
After the 55th Canon of 1603,1,1,After the 55th Canon of 1603,keep,
After William Laud,1,1,After William Laud,keep,
An adaptation of the Gelasian prayer,1,1,An adaptation of the Gelasian prayer,keep,
An adaptation of the House of Commons Prayer,1,1,An adaptation of the House of Commons Prayer,keep,
Anselm of Canterbury,1,1,Anselm of Canterbury,keep,
"Armistice Day Prayers, 1931*",1,1,"Armistice Day Prayers, 1931*",keep,
Artists’ Prayer Guild*,1,1,Artists’ Prayer Guild*,keep,
