raw_tag,assignment_count,current_action,current_facet,extreme_action,extreme_tag,reason,confidence
The Ascension Day,15,keep,topic,map,Ascension,seasonal_rule,high
The World,15,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Third Century Prayers,15,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Apostolic Constitutions,14,keep,topic,drop,,not_in_extreme_canonical_set,medium
At Evening,14,keep,topic,map,At Times of Prayer and Worship,explicit_alias_rule,medium
B. F. Westcott,14,keep,topic,drop,,not_in_extreme_canonical_set,medium
Dedication Festival,14,keep,topic,drop,,not_in_extreme_canonical_set,medium
Frederick B. Macnutt,14,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Irish Prayer Book,14,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Mothering Sunday Service,14,keep,topic,drop,,not_in_extreme_canonical_set,medium
Watch-Night Service,14,keep,topic,drop,,not_in_extreme_canonical_set,medium
Dedication,13,keep,topic,drop,,not_in_extreme_canonical_set,medium
Health Services and Hospitals,13,keep,topic,drop,,not_in_extreme_canonical_set,medium
In the Morning,13,keep,topic,map,At Times of Prayer and Worship,explicit_alias_rule,medium
Missionary Festival,13,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
New Testament Prayers,13,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Our Daily Work,13,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Coming of God’s Kingdom,13,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Epiphany,13,merge,liturgical_season,drop,,non_topical_provenance_or_alias,high
A Civic Service,12,keep,topic,drop,,not_in_extreme_canonical_set,medium
Adapted from Book of Common Prayer,12,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Choir Festival,12,keep,topic,drop,,not_in_extreme_canonical_set,medium
Travel,12,keep,topic,drop,,not_in_extreme_canonical_set,medium
Week of Prayer for Christian Unity,12,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Confirmation,11,keep,topic,drop,,not_in_extreme_canonical_set,medium
Euchologium Anglicanum,11,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Marriage,11,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Rites of Healing,11,keep,topic,keep,Rites of Healing,canonical_exact,high
Second Century Prayers,11,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Those in Spiritual Need,11,keep,topic,map,Those in Need,token_overlap_map,medium
Trinity Sunday,11,keep,topic,drop,,not_in_extreme_canonical_set,medium
Youth Festival,11,keep,topic,drop,,not_in_extreme_canonical_set,medium
Commons of Commemoration,10,keep,topic,drop,,not_in_extreme_canonical_set,medium
Courage and Perseverance,10,keep,topic,drop,,not_in_extreme_canonical_set,medium
Family Prayer,10,keep,prayer_type,keep,Family Prayer,canonical_exact,high
Maundy Thursday,10,keep,topic,map,Holy Week,seasonal_rule,high
Old People’s Service,10,keep,topic,drop,,not_in_extreme_canonical_set,medium
Penitence and Pardon,10,keep,topic,drop,,not_in_extreme_canonical_set,medium
Second Sunday in Advent (Bible Sunday),10,keep,topic,map,Advent,seasonal_rule,high
The Circumcision,10,keep,topic,drop,,not_in_extreme_canonical_set,medium
W. David O. Taylor,10,keep,topic,drop,,not_in_extreme_canonical_set,medium
A Diocesan Service Book,9,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Ash Wednesday,9,keep,topic,map,Lent,seasonal_rule,high
C. J. Vaughan,9,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Christmas Day,9,keep,topic,map,Christmas,seasonal_rule,high
Confessions,9,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Faith,9,keep,topic,drop,,not_in_extreme_canonical_set,medium
Holy Baptism,9,keep,topic,drop,,not_in_extreme_canonical_set,medium
Knowledge and Truth,9,keep,topic,drop,,not_in_extreme_canonical_set,medium
Liturgy of St. Mark,9,keep,topic,drop,,not_in_extreme_canonical_set,medium
Love,9,keep,topic,drop,,not_in_extreme_canonical_set,medium
Peter Green,9,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Pulpit Prayers,9,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
The Christian Warfare,9,keep,topic,drop,,not_in_extreme_canonical_set,medium
W. E. Orchard,9,keep,topic,drop,,not_in_extreme_canonical_set,medium
A Procession of Passion Prayers,8,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Before Bible Study,8,keep,topic,drop,,not_in_extreme_canonical_set,medium
Burial of the Dead,8,keep,topic,keep,Burial of the Dead,canonical_exact,high
Childbirth,8,keep,topic,drop,,not_in_extreme_canonical_set,medium
Fifth Sunday in Lent: Passion Sunday,8,keep,topic,map,Lent,seasonal_rule,high
Guild of Health,8,keep,topic,drop,,not_in_extreme_canonical_set,medium
Inward Peace,8,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
James M. Todd,8,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
John Hunter,8,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
L. E. H. Stephens-Hodge,8,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Offertory Prayers,8,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Rulers and Statesmen,8,keep,topic,drop,,not_in_extreme_canonical_set,medium
St. Augustine,8,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Sunday Called Septuagesima,8,keep,topic,drop,,not_in_extreme_canonical_set,medium
William Knight,8,keep,topic,drop,,not_in_extreme_canonical_set,medium
