raw_tag,assignment_count,current_action,current_facet,extreme_action,extreme_tag,reason,confidence
A Prayer Meeting,7,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
After the Third Collect,7,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Basil Naylor,7,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
"Canterbury Convocation, 1862",7,keep,topic,drop,,not_in_extreme_canonical_set,medium
Christmas Eve,7,keep,topic,map,Christmas,seasonal_rule,high
"Death, the Departed, and the Communion of Saints",7,keep,topic,keep,"Death, the Departed, and the Communion of Saints",canonical_exact,high
Dedication of Memorial Gifts,7,keep,topic,drop,,not_in_extreme_canonical_set,medium
E. B. Pusey,7,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
First Sunday After Easter,7,keep,topic,map,Easter,seasonal_rule,high
First Sunday After Trinity,7,keep,topic,drop,,not_in_extreme_canonical_set,medium
First Sunday in Advent,7,keep,topic,map,Advent,seasonal_rule,high
First Sunday in Lent,7,keep,topic,map,Lent,seasonal_rule,high
Guidance,7,keep,topic,drop,,not_in_extreme_canonical_set,medium
Lancelot Andrewes,7,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Liturgy of the Catholic Apostolic Church,7,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Mozarabic Sacramentary,7,keep,topic,drop,,not_in_extreme_canonical_set,medium
Prayers Suitable for Use at a Marriage Reunion Service,7,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Second Sunday After Epiphany,7,keep,topic,map,Epiphany,seasonal_rule,high
South African Prayer Book,7,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Sunday After Ascension Day,7,keep,topic,map,Ascension,seasonal_rule,high
Sunday Called Quinquagesima,7,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Commonwealth,7,keep,topic,drop,,not_in_extreme_canonical_set,medium
W. E. Scudamore,7,keep,topic,drop,,not_in_extreme_canonical_set,medium
With all our Strength,7,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
A Christmas Carol Service,6,keep,topic,map,Christmas,seasonal_rule,high
Ambrose,6,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Christina Rossetti,6,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Collects,6,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Eleventh Sunday After Trinity,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
Fifteenth Sunday After Trinity,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
First Sunday After Epiphany,6,keep,topic,map,Epiphany,seasonal_rule,high
Fourteenth Sunday After Trinity,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
Fourth Sunday After Epiphany,6,keep,topic,map,Epiphany,seasonal_rule,high
Fourth Sunday in Advent,6,keep,topic,map,Advent,seasonal_rule,high
Gregorian Sacramentary,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
Growth in Grace,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
James Ferguson,6,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Liturgy of St. James,6,keep,topic,drop,,not_in_extreme_canonical_set,medium
